location,name,address
,University of Health Sciences,"University of Health Sciences, , Türkiye"
,Yıldız Technical University,"Yıldız Technical University, , Türkiye"
,Acıbadem University,"Acıbadem University, , Türkiye"
,Altınbaş University,"Altınbaş University, , Türkiye"
,Bahçeşehir University,"Bahçeşehir University, , Türkiye"
,Beykoz University,"Beykoz University, , Türkiye"
,Bezmialem Vakıf University,"Bezmialem Vakıf University, , Türkiye"
,Biruni University,"Biruni University, , Türkiye"
,Demiroğlu Bilim University,"Demiroğlu Bilim University, , Türkiye"
,Doğuş University,"Doğuş University, , Türkiye"
,Fatih Sultan Mehmet Vakıf University,"Fatih Sultan Mehmet Vakıf University, , Türkiye"
,Fenerbahçe University,"Fenerbahçe University, , Türkiye"
,Haliç University,"Haliç University, , Türkiye"
,Ibn Haldun University,"Ibn Haldun University, , Türkiye"
,Istanbul 29 Mayıs University,"Istanbul 29 Mayıs University, , Türkiye"
,Istanbul Arel University,"Istanbul Arel University, , Türkiye"
,Istanbul Atlas University,"Istanbul Atlas University, , Türkiye"
,Istanbul Aydın University,"Istanbul Aydın University, , Türkiye"
,Istanbul Beykent University,"Istanbul Beykent University, , Türkiye"
,Istanbul Bilgi University,"Istanbul Bilgi University, , Türkiye"
,Istanbul Commerce University,"Istanbul Commerce University, , Türkiye"
,Istanbul Esenyurt University,"Istanbul Esenyurt University, , Türkiye"
,Istanbul Galata University,"Istanbul Galata University, , Türkiye"
,Istanbul Gedik University,"Istanbul Gedik University, , Türkiye"
,Istanbul Gelişim University,"Istanbul Gelişim University, , Türkiye"
,Istanbul Health and Technology University,"Istanbul Health and Technology University, , Türkiye"
,Istanbul Kent University,"Istanbul Kent University, , Türkiye"
,Istanbul Kültür University,"Istanbul Kültür University, , Türkiye"
,Istanbul Medipol University,"Istanbul Medipol University, , Türkiye"
,Istanbul Nişantaşı University,"Istanbul Nişantaşı University, , Türkiye"
,Istanbul Okan University,"Istanbul Okan University, , Türkiye"
,Istanbul Rumeli University,"Istanbul Rumeli University, , Türkiye"
,Istanbul Sabahattin Zaim University,"Istanbul Sabahattin Zaim University, , Türkiye"
,Istanbul Topkapı University,"Istanbul Topkapı University, , Türkiye"
,Istanbul Yeni Yüzyıl University,"Istanbul Yeni Yüzyıl University, , Türkiye"
,Işık University,"Işık University, , Türkiye"
,İstinye University,"İstinye University, , Türkiye"
,Kadir Has University,"Kadir Has University, , Türkiye"
,Koç University,"Koç University, , Türkiye"
,Maltepe University,"Maltepe University, , Türkiye"
,MEF University,"MEF University, , Türkiye"
,Özyeğin University,"Özyeğin University, , Türkiye"
,Piri Reis University,"Piri Reis University, , Türkiye"
,Sabancı University,"Sabancı University, , Türkiye"
,Üsküdar University,"Üsküdar University, , Türkiye"
,Yeditepe University,"Yeditepe University, , Türkiye"
İzmir,Dokuz Eylül University,"Dokuz Eylül University, İzmir, Türkiye"
,Ege University,"Ege University, , Türkiye"
,İzmir Institute of Technology,"İzmir Institute of Technology, , Türkiye"
,Yaşar University,"Yaşar University, , Türkiye"
,İzmir Kâtip Çelebi University,"İzmir Kâtip Çelebi University, , Türkiye"
,İzmir Bakırçay University,"İzmir Bakırçay University, , Türkiye"
,İzmir Democracy University,"İzmir Democracy University, , Türkiye"
,İzmir University of Economics,"İzmir University of Economics, , Türkiye"
,İzmir Tınaztepe University,"İzmir Tınaztepe University, , Türkiye"
Kahramanmaraş,Kahramanmaraş İstiklal University,"Kahramanmaraş İstiklal University, Kahramanmaraş, Türkiye"
,Kahramanmaraş Sütçü İmam University,"Kahramanmaraş Sütçü İmam University, , Türkiye"
Karabük,Karabük University,"Karabük University, Karabük, Türkiye"
Karaman,Karamanoğlu Mehmetbey University,"Karamanoğlu Mehmetbey University, Karaman, Türkiye"
Kars,Kafkas University,"Kafkas University, Kars, Türkiye"
Kastamonu,Kastamonu University,"Kastamonu University, Kastamonu, Türkiye"
Kayseri,Abdullah Gül University,"Abdullah Gül University, Kayseri, Türkiye"
,Erciyes University,"Erciyes University, , Türkiye"
,Kayseri University,"Kayseri University, , Türkiye"
,Nuh Naci Yazgan University,"Nuh Naci Yazgan University, , Türkiye"
Kırıkkale,Kırıkkale University,"Kırıkkale University, Kırıkkale, Türkiye"
Kırklareli,Kırklareli University,"Kırklareli University, Kırklareli, Türkiye"
Kırşehir,Kırşehir Ahi Evran University,"Kırşehir Ahi Evran University, Kırşehir, Türkiye"
Kilis,Kilis 7 Aralık University,"Kilis 7 Aralık University, Kilis, Türkiye"
Kocaeli,Gebze Technical University,"Gebze Technical University, Kocaeli, Türkiye"
,Kocaeli University,"Kocaeli University, , Türkiye"
,Kocaeli Health and Technology University,"Kocaeli Health and Technology University, , Türkiye"
Konya,Konya Technical University,"Konya Technical University, Konya, Türkiye"
,Necmettin Erbakan University,"Necmettin Erbakan University, , Türkiye"
,Selçuk University,"Selçuk University, , Türkiye"
,Konya Food and Agriculture University,"Konya Food and Agriculture University, , Türkiye"
,KTO Karatay University,"KTO Karatay University, , Türkiye"
Kütahya,Kütahya Dumlupınar University,"Kütahya Dumlupınar University, Kütahya, Türkiye"
,Kütahya Health Sciences University,"Kütahya Health Sciences University, , Türkiye"
Malatya,İnönü University,"İnönü University, Malatya, Türkiye"
,Malatya Turgut Özal University,"Malatya Turgut Özal University, , Türkiye"
Manisa,Manisa Celal Bayar University,"Manisa Celal Bayar University, Manisa, Türkiye"
Mardin,Mardin Artuklu University,"Mardin Artuklu University, Mardin, Türkiye"
Mersin,Mersin University,"Mersin University, Mersin, Türkiye"
,Çağ University,"Çağ University, , Türkiye"
,Tarsus University,"Tarsus University, , Türkiye"
,Toros University,"Toros University, , Türkiye"
Muğla,Muğla Sıtkı Koçman University,"Muğla Sıtkı Koçman University, Muğla, Türkiye"
Muş,Muş Alparslan University,"Muş Alparslan University, Muş, Türkiye"
Nevşehir,Nevşehir Hacı Bektaş Veli University,"Nevşehir Hacı Bektaş Veli University, Nevşehir, Türkiye"
,Cappadocia University,"Cappadocia University, , Türkiye"
Niğde,Niğde Ömer Halisdemir University,"Niğde Ömer Halisdemir University, Niğde, Türkiye"
Ordu,Ordu University,"Ordu University, Ordu, Türkiye"
Osmaniye,Osmaniye Korkut Ata University,"Osmaniye Korkut Ata University, Osmaniye, Türkiye"
Rize,Recep Tayyip Erdoğan University,"Recep Tayyip Erdoğan University, Rize, Türkiye"
Sakarya,Sakarya University,"Sakarya University, Sakarya, Türkiye"
,Sakarya University of Applied Sciences,"Sakarya University of Applied Sciences, , Türkiye"
Samsun,Ondokuz Mayıs University,"Ondokuz Mayıs University, Samsun, Türkiye"
,Samsun University,"Samsun University, , Türkiye"
Siirt,Siirt University,"Siirt University, Siirt, Türkiye"
Sinop,Sinop University,"Sinop University, Sinop, Türkiye"
Sivas,Sivas Cumhuriyet University,"Sivas Cumhuriyet University, Sivas, Türkiye"
,Sivas University of Science and Technology,"Sivas University of Science and Technology, , Türkiye"
Şanlıurfa,Harran University,"Harran University, Şanlıurfa, Türkiye"
